Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
A,,,,,Усиление конструкций,"Комплекс конструктивных мероприятий и технологических работ, направленных на повышение несущей способности и эксплуатационных свойств конструкции",ГЭСН 81-02-46-2022 ,По виду работ,,,,,KSI130000002
,AA,,,,Усиление конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022 ,По виду работ,,ГЭСН 46-01-001,,,KSI130000003
,,AAA,,,Устройство ограждения деревянными щитами при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000004
,,AAB,,,Заготовка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000005
,,AAC,,,Установка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000006
,,AAD,,,Очистка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000007
,,AAE,,,Подготовка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000008
,,AAF,,,Установка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000009
,,AAG,,,Разборка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000010
,,AAH,,,Установка арматуры при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000011
,,AAJ,,,Укладка бетона при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000012
,AB,,,,Усиление существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-002
",,,KSI130000013
,,ABA,,,Установка инвентарных лесов и подмостей для усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000014
,,ABB,,,Установка защитного металлического листа при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000015
,,ABC,,,Очистка поверхности балки от пыли и грязи при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000016
,,ABD,,,Расчистка дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000017
,,ABE,,,Удаление дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000018
,,ABF,,,Очистка и промывка водой усиляемых поверхностей балки при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000019
,,ABG,,,Насечка бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2022,,,,,,KSI130000020
,,ABH,,,Установка арматуры при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000021
,,ABJ,,,Усиление балки цементно-песчаным раствором при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000022
,,ABK,,,Разборка лесов и подмостей после усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000023
,AC,,,,Усиление существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-003
",,,KSI130000024
,,ACA,,,Установка инвентарных лесов для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000025
,,ACB,,,Установка тупиков на подкрановых балках для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000026
,,ACC,,,Очистка балки от пыли и грязи при усилении существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000027
,,ACD,,,Изготовление металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000028
,,ACE,,,Подъем металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000029
,,ACF,,,Установка металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000030
,,ACG,,,Разборка лесов после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000031
,,ACH,,,Очистка рабочей площадки после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000032
,AD,,,,Усиление конструктивных элементов,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-004
",,,KSI130000033
,,ADA,,,"Пробивка гнезд, борозд, отверстий для усиления конструктивных элементов",,ГЭСН 81-02-46-2022,,,,,,KSI130000034
,,ADB,,,Заготовка для усиления конструктивных элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000035
,,ADC,,,Установка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000036
,,ADD,,,Резка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000037
,,ADE,,,Сварка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000038
,,ADF,,,Заделка гнезд и борозд после усиления конструктивных элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000039
,AE,,,,Наращивание железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-005
",,,KSI130000040
,,AEA,,,Очистка поверхностей в местах наращивания для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000041
,,AEB,,,Установка опалубки для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000042
,,AEC,,,Разборка опалубки после наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000043
,,AED,,,Установка арматуры для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000044
,,AEE,,,Укладка бетона для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000045
,AF,,,,Усиление конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-006
",,,KSI130000046
,,AFA,,,"Укладка дренажной трубы с установкой распорок, пробивка проемов в железобетонном перекрытии для подачи бетона",,ГЭСН 81-02-46-2022,,,,,,KSI130000047
,,AFB,,,Замоноличивание при усилении конструкций в проходных туннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000048
,,AFC,,,Устройство временных глиняных перемычек,,ГЭСН 81-02-46-2022,,,,,,KSI130000049
,,AFD,,,Разборка временных глиняных перемычек,,ГЭСН 81-02-46-2022,,,,,,KSI130000050
,,AFE,,,Установка арматуры для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000051
,,AFF,,,Устройство набетонок для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000052
,,AFG,,,Насечка бетонных поверхностей в местах укладки бетонной смеси с очисткой поверхности для усиления конструкций в проходных тоннелях,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2022,,,,,,KSI130000053
,,AFH,,,Установка опалубки для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000054
,,AFJ,,,Разборка опалубки после усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000055
,,AFK,,,Укладка бетона для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000056
,AG,,,,Усиление железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-007
",,,KSI130000057
,,AGA,,,Подача конструкций для усиления железобетонных колонн эстакад стальными обоймами к месту производства работ с сортировкой и комплектованием,,ГЭСН 81-02-46-2022,,,,,,KSI130000058
,,AGB,,,Установка деталей и узлов усиления со сваркой элементов в различных пространственных положениях для усиления железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2022,,,,,,KSI130000059
,AH,,,,"Обетонирование металлических элементов, заполнение бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-008
",,,KSI130000060
,,AHA,,,"Очистка открытых поверхностей колонн, балок и прогонов для обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,,,,,,KSI130000061
,,AHB,,,"Устройство опалубки для обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,,,,,,KSI130000062
,,AHC,,,"Разборка опалубки после обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,,,,,,KSI130000063
,,AHD,,,"Обмотка балок проволокой для обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,,,,,,KSI130000064
,,AHE,,,Обетонирование конструкций металлических элементов,,ГЭСН 81-02-46-2022,,,,,,KSI130000065
,AJ,,,,"Усиление металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-009
",,,KSI130000066
,,AJA,,,"Подъем на подмости элементов металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2022,,,,,,KSI130000067
,,AJB,,,"Установка элементов металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2022,,,,,,KSI130000068
,,AJC,,,Прикрепление элементов усиления,,ГЭСН 81-02-46-2022,,,,,,KSI130000069
,,AJD,,,"Выверка, подгонка элементов металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2022,,,,,,KSI130000070
,,AJE,,,Электроприхватка и окончательное закрепление при помощи электросварки и постановки болтов,,ГЭСН 81-02-46-2022,,,,,,KSI130000071
,,AJF,,,"Срезка сборочных приспособлений и зачистка мест среза после усиления металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2022,,,,,,KSI130000072
,AK,,,,Усиление металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-010
",,,KSI130000073
,,AKA,,,Демонтаж тормозного настила для усиления конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000074
,,AKB,,,Демонтаж ограждения для усиления конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000075
,,AKC,,,Демонтаж рельсов для усиления конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000076
,,AKD,,,"Монтаж тормозного настила, ограждения, рельсов после усиления конструкций",,ГЭСН 81-02-46-2022,,,,,,KSI130000077
,,AKE,,,Подъем на подмости элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,,,,,,KSI130000078
,,AKF,,,Установка и прикрепление элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,,,,,,KSI130000079
,,AKG,,,"Выверка, подгонка элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения",,ГЭСН 81-02-46-2022,,,,,,KSI130000080
,,AKH,,,Электроприхватка и окончательное закрепление при помощи электросварки элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,,,,,,KSI130000081
,,AKJ,,,Срезка сборочных приспособлений после усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,,,,,,KSI130000082
,,AKK,,,Сверление и постановка болтов для усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2022,,,,,,KSI130000083
,AL,,,,"Усиление колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-012
",,,KSI130000084
,,ALA,,,"Подъем на подмости элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000085
,,ALB,,,"Установка и прикрепление элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000086
,,ALC,,,"Выверка, подгонка элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000087
,,ALD,,,"Электроприхватка и окончательное закрепление при помощи электросварки элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000088
,,ALE,,,"Срезка сборочных приспособлений и зачистка мест среза элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000089
,,ALF,,,"Постановка высокопрочных болтов для элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2022,,,,,,KSI130000090
,AM,,,,Усиление элементов металлоконструкций,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-013
",,,KSI130000091
,,AMA,,,Зачистка с помощью шлифмашинки элементов металлоконструкций для усиления,,ГЭСН 81-02-46-2022,,,,,,KSI130000092
,,AMB,,,Наплавка усиливаемых сварных швов,,ГЭСН 81-02-46-2022,,,,,,KSI130000093
,,AMC,,,"Разделка трещин, разметка отверстий, рассверловка для усиления элементов металлоконструкций",,ГЭСН 81-02-46-2022,,,,,,KSI130000094
,,AMD,,,Заварка трещин для усиления элементов металлоконструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000095
,,AME,,,Установка ребер жесткости для усиления элементов металлоконструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000096
,AN,,,,Устройство въездов в металлических каркасах стен при установке в цехах негабаритного оборудования,,ГЭСН 81-02-46-2022,По условию производства работ,,ГЭСН 46-01-014,,,KSI130000097
,,ANA,,,Демонтаж колонн при помощи крана и приварка столиков к колоннам,,ГЭСН 81-02-46-2022,,,,,,KSI130000098
,,ANB,,,Установка домкратов для устройства въездов,,ГЭСН 81-02-46-2022,,,,,,KSI130000099
,,ANC,,,Снятие домкратов после устройства въездов,,ГЭСН 81-02-46-2022,,,,,,KSI130000100
,,AND,,,"Демонтаж подкрановых балок, связей и тормозного настила с резкой швов демонтируемых конструкций",,ГЭСН 81-02-46-2022,,,,,,KSI130000101
,,ANE,,,Установка инвентарных лестниц для устройства въездов,,ГЭСН 81-02-46-2022,,,,,,KSI130000102
,,ANF,,,Снятие инвентарных лестниц после устройства въездов,,ГЭСН 81-02-46-2022,,,,,,KSI130000103
,,ANG,,,Сортировка конструкций для устройства въездов,,ГЭСН 81-02-46-2022,,,,,,KSI130000104
,,ANH,,,"Укрупнительная сборка подкрановых балок, укладка подкрановых балок, связей, тормозного настила, крановых рельсов для устройства въездов",,ГЭСН 81-02-46-2022,,,,,,KSI130000105
,AP,,,,Рихтовка подкрановых балок,,ГЭСН 81-02-46-2022,По месту работ,,ГЭСН 46-01-015,,,KSI130000106
,,APA,,,Установка инвентарных подмостей для рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000107
,,APB,,,Разборка инвентарных подмостей после рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000108
,,APC,,,Установка тупиковых упоров для рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000109
,,APD,,,Снятие тупиковых упоров после рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000110
,,APE,,,Установка столиков под домкраты для рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000111
,,APF,,,Подъем подкрановых балок с предварительным снятием болтов крепления и последующей их установкой для рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000112
,,APG,,,Опускание подкрановых балок с предварительным снятием болтов крепления и последующей их установкой после рихтовки подкрановых балок,,ГЭСН 81-02-46-2022,,,,,,KSI130000113
B,,,,,Замена конструкций,,ГЭСН 81-02-46-2022,По виду работ,,,,,KSI130000114
,BA,,,,Замена деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-02-001,,,KSI130000115
,,BAA,,,Временное ограждение междуэтажных и чердачных помещений,,ГЭСН 81-02-46-2022,,,,,,KSI130000116
,,BAB,,,Временное раскрепление существующих колонн междуэтажных и чердачных помещений,,ГЭСН 81-02-46-2022,,,,,,KSI130000117
,,BAC,,,Установка подмостей для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,,,,,,KSI130000118
,,BAD,,,"Разборка элементов деревянных междуэтажных и чердачных перекрытий (прогоны, балки, настилы, подшивки, смазки, утеплители)",,ГЭСН 81-02-46-2022,,,,,,KSI130000119
,,BAE,,,Пробивка и заделка гнезд и борозд для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,,,,,,KSI130000120
,,BAF,,,Установка опалубки для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,,,,,,KSI130000121
,,BAG,,,Установка арматуры для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,,,,,,KSI130000122
,,BAH,,,Укладка бетона для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2022,,,,,,KSI130000123
,BB,,,,Замена перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-02-002,,,KSI130000124
,,BBA,,,Разборка кирпичных сводов при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000125
,,BBB,,,Разборка утеплителей при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000126
,,BBC,,,Пробивка гнезд и борозд при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000127
,,BBD,,,Установка опалубки при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000128
,,BBE,,,Установка арматуры при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000129
,,BBF,,,Укладка бетона для замены перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000130
,,BBG,,,Временное раскрепление существующих колонн при замене перекрытий на монолитные железобетонные.,,ГЭСН 81-02-46-2022,,,,,,KSI130000131
,,BBH,,,Установка подмостей для замены перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2022,,,,,,KSI130000132
,,BBJ,,,"Разборка настила из гофрированной стали, кирпичной забутки и бетона, уложенного по гофрированной стали",,ГЭСН 81-02-46-2022,,,,,,KSI130000133
,BC,,,,Демонтаж металлоконструкций покрытий,"Снятие с места эксплуатации машин, разборка машин, оборудования, сооружений или их частей",ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-02-004,,,KSI130000134
,,BCA,,,"Демонтаж заменяемых конструкций покрытий (кровли из волнистого железа, прогонов, фонаря и связей) с резкой фасонок, фиксаторов, срезкой болтов",,ГЭСН 81-02-46-2022,,,,,,KSI130000135
,,BCB,,,Перемещение по кровле и опускание вниз демонтированных конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000136
,BD,,,,"Монтаж металлоконструкций покрытия, зенитных фонарей, прогонов профилированного настила, светоаэрационной стенки",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-02-005,,,KSI130000137
